instance,dimension,run,seed,beta,gamma,best_known,best_length,gap_percent,final_effective_count,final_edge_diversity,runtime_seconds
berlin52,52,7,20260811,0.0,8.0,7542,7696,2.041898700609918,15.999999999743997,0.0,0.3062540060000174
berlin52,52,7,20260811,2.0,0.0,7542,7896,4.6937151949085125,15.999999999743997,0.0,0.311001619000308
berlin52,52,7,20260811,2.0,1.0,7542,7542,0.0,15.999999999743997,0.0,0.34005329599995093
berlin52,52,7,20260811,2.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.34687193399986427
berlin52,52,7,20260811,2.0,8.0,7542,7896,4.6937151949085125,15.408440590434216,0.007211538461538464,0.3233240110002953
berlin52,52,7,20260811,6.0,0.0,7542,7581,0.5171042163882259,14.034734140244533,0.008974358974358968,0.3257380140003079
berlin52,52,7,20260811,6.0,1.0,7542,7581,0.5171042163882259,14.034734140244533,0.008974358974358968,0.32182184600014807
berlin52,52,7,20260811,6.0,4.0,7542,7585,0.5701405462741979,15.999999999743997,0.0,0.32161851899991234
berlin52,52,7,20260811,6.0,8.0,7542,7585,0.5701405462741979,15.999999999743997,0.0,0.3141112809998958
berlin52,52,7,20260811,12.0,0.0,7542,7886,4.561124370193583,15.999999999743997,0.0,0.30603969000003417
berlin52,52,7,20260811,12.0,1.0,7542,7886,4.561124370193583,15.999999999743997,0.0,0.30247620699992694
berlin52,52,7,20260811,12.0,4.0,7542,7886,4.561124370193583,15.999999999743997,0.0,0.32040061299994704
berlin52,52,7,20260811,12.0,8.0,7542,7886,4.561124370193583,15.999999999743997,0.0,0.30765980900014256
berlin52,52,8,20260812,0.0,0.0,7542,7765,2.956775391142933,15.999999999743997,0.0,0.3205461309999009
berlin52,52,8,20260812,0.0,1.0,7542,7872,4.375497215592681,15.999999999743997,0.0048076923076923045,0.3280032070001653
berlin52,52,8,20260812,0.0,4.0,7542,7844,4.0042429063908775,15.999999999743997,0.0,0.32775825399994574
berlin52,52,8,20260812,0.0,8.0,7542,7844,4.0042429063908775,15.999999999743997,0.0,0.3216751110003315
berlin52,52,8,20260812,2.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.31703637999999046
berlin52,52,8,20260812,2.0,1.0,7542,7872,4.375497215592681,15.999999999743997,0.0,0.34666397099999813
berlin52,52,8,20260812,2.0,4.0,7542,7872,4.375497215592681,15.999999999743997,0.0,0.32288731900007406
berlin52,52,8,20260812,2.0,8.0,7542,7858,4.18987006099178,15.999999999743997,0.0,0.32485035099989545
berlin52,52,8,20260812,6.0,0.0,7542,7844,4.0042429063908775,15.999999999743997,0.0,0.32473446199992395
berlin52,52,8,20260812,6.0,1.0,7542,7844,4.0042429063908775,15.999999999743997,0.0,0.31899870699999155
berlin52,52,8,20260812,6.0,4.0,7542,7870,4.348979050649695,15.999999999743997,0.0,0.309609847000047
berlin52,52,8,20260812,6.0,8.0,7542,7673,1.7369398037655794,15.999999999743997,0.0,0.31224362500006464
berlin52,52,8,20260812,12.0,0.0,7542,7619,1.020949350304959,15.999999999743997,0.0,0.31332203600004505
berlin52,52,8,20260812,12.0,1.0,7542,7619,1.020949350304959,15.999999999743997,0.0,0.3194408760000442
berlin52,52,8,20260812,12.0,4.0,7542,7619,1.020949350304959,15.999999999743997,0.0,0.32418677599980583
berlin52,52,8,20260812,12.0,8.0,7542,7844,4.0042429063908775,15.999999999743997,0.0,0.3307381790000363
berlin52,52,9,20260813,0.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.3177493390003292
berlin52,52,9,20260813,0.0,1.0,7542,7680,1.8297533810660302,15.999999999743997,0.007211538461538464,0.32820142999980817
berlin52,52,9,20260813,0.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.31057174700026735
berlin52,52,9,20260813,0.0,8.0,7542,7713,2.2673031026252985,15.999999999743997,0.023076923076923085,0.31268125499991584
berlin52,52,9,20260813,2.0,0.0,7542,7893,4.6539379474940334,15.999999999743997,0.0,0.30138790899991363
berlin52,52,9,20260813,2.0,1.0,7542,8043,6.642800318217979,15.999999999743997,0.0,0.2886111160000837
berlin52,52,9,20260813,2.0,4.0,7542,8031,6.483691328560064,15.999999999743997,0.0,0.28548225200029265
berlin52,52,9,20260813,2.0,8.0,7542,8014,6.258286926544683,15.999999999743997,0.0,0.32065579099980823
berlin52,52,9,20260813,6.0,0.0,7542,7860,4.216388225934765,8.027057879286307,0.07996794871794873,0.3164140420003605
berlin52,52,9,20260813,6.0,1.0,7542,7944,5.330151153540175,15.999999999743997,0.0,0.29043941499958237
berlin52,52,9,20260813,6.0,4.0,7542,7973,5.714664545213472,15.999999999743997,0.0,0.29168111999979374
berlin52,52,9,20260813,6.0,8.0,7542,7973,5.714664545213472,14.209505703591297,0.03333333333333333,0.2960764819999895
berlin52,52,9,20260813,12.0,0.0,7542,7677,1.7899761336515514,6.000798792812928,0.028846153846153855,0.32409603899986905
berlin52,52,9,20260813,12.0,1.0,7542,7677,1.7899761336515514,6.000798792812928,0.028846153846153855,0.30828553299988926
berlin52,52,9,20260813,12.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.32703439699980663
berlin52,52,9,20260813,12.0,8.0,7542,7565,0.30495889684433836,1.0011987331337953,0.0048076923076923045,0.32992176800007655
berlin52,52,10,20260814,0.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.30815292099987346
berlin52,52,10,20260814,0.0,1.0,7542,7636,1.2463537523203394,15.999999999743997,0.017948717948717937,0.3138681059999726
berlin52,52,10,20260814,0.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.3328865369999221
berlin52,52,10,20260814,0.0,8.0,7542,7569,0.35799522673031026,15.999999999743997,0.0,0.3313400179999917
berlin52,52,10,20260814,2.0,0.0,7542,7669,1.6839034738796075,15.999999999743997,0.0,0.3234872120001455
berlin52,52,10,20260814,2.0,1.0,7542,7542,0.0,15.999999999743997,0.0,0.32166917199992895
berlin52,52,10,20260814,2.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.31693196100013665
berlin52,52,10,20260814,2.0,8.0,7542,7542,0.0,15.999999999743997,0.0,0.3195174689999476
berlin52,52,10,20260814,6.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.30765974399992047
berlin52,52,10,20260814,6.0,1.0,7542,7748,2.7313709891275524,15.999999999743997,0.0,0.30669087900014347
berlin52,52,10,20260814,6.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.3104066639998564
berlin52,52,10,20260814,6.0,8.0,7542,7542,0.0,15.999999999743997,0.0,0.31654026900014287
berlin52,52,10,20260814,12.0,0.0,7542,7542,0.0,14.000529134629836,0.03365384615384616,0.31912992200022927
berlin52,52,10,20260814,12.0,1.0,7542,7542,0.0,14.000529134629836,0.03365384615384616,0.3164554099998895
berlin52,52,10,20260814,12.0,4.0,7542,7542,0.0,14.000529134629836,0.03365384615384616,0.3089927149999312
berlin52,52,10,20260814,12.0,8.0,7542,7542,0.0,14.000529134629836,0.03365384615384616,0.313153419000173
ch150,150,1,20270805,0.0,0.0,6528,6617,1.3633578431372548,15.999999999743997,0.0,0.7262275200000659
ch150,150,1,20270805,0.0,1.0,6528,6596,1.0416666666666667,15.999999999743997,0.0,0.7278859799998827
ch150,150,1,20270805,0.0,4.0,6528,6641,1.7310049019607843,15.999999999743997,0.0016666666666666635,0.7593655589998889
ch150,150,1,20270805,0.0,8.0,6528,6704,2.696078431372549,15.999999999743997,0.0,0.762911744000121
ch150,150,1,20270805,2.0,0.0,6528,6633,1.6084558823529411,15.999999999743997,0.0,0.779860166999697
ch150,150,1,20270805,2.0,1.0,6528,6596,1.0416666666666667,15.999999999743997,0.0,0.7612510219996693
ch150,150,1,20270805,2.0,4.0,6528,6654,1.9301470588235294,15.999999999743997,0.0,0.7310252950001086
ch150,150,1,20270805,2.0,8.0,6528,6667,2.1292892156862746,15.999999999743997,0.0,0.748846532999778
ch150,150,1,20270805,6.0,0.0,6528,6617,1.3633578431372548,15.999999999743997,0.0,0.7473284339998827
ch150,150,1,20270805,6.0,1.0,6528,6591,0.9650735294117647,1.3639267491070532,0.015500000000000002,0.7561061709998285
ch150,150,1,20270805,6.0,4.0,6528,6591,0.9650735294117647,1.3639267491070532,0.015500000000000002,0.7239648479999232
ch150,150,1,20270805,6.0,8.0,6528,6623,1.4552696078431373,9.122062150182497,0.012166666666666675,0.7379713469999842
ch150,150,1,20270805,12.0,0.0,6528,6596,1.0416666666666667,15.999999999743997,0.0016666666666666635,0.7314089050000803
ch150,150,1,20270805,12.0,1.0,6528,6596,1.0416666666666667,15.999999999743997,0.0016666666666666635,0.7572643829998924
ch150,150,1,20270805,12.0,4.0,6528,6596,1.0416666666666667,15.999999999743997,0.0016666666666666635,0.7380202700001064
ch150,150,1,20270805,12.0,8.0,6528,6646,1.8075980392156863,15.999999999743997,0.0031111111111111053,0.7393254039998283
ch150,150,2,20270806,0.0,0.0,6528,6608,1.2254901960784315,15.999999999743997,0.0031111111111111053,0.8090078710001762
ch150,150,2,20270806,0.0,1.0,6528,6625,1.485906862745098,15.999999999743997,0.0016666666666666635,0.7325123649998204
