instance,dimension,algorithm,run,seed,best_known,best_length,gap_percent,final_mean_length,runtime_seconds,budget_mode
ch150,150,GA,11,20262530,6528,9671,48.14644607843137,9923.175,,standard
ch150,150,GA,12,20262531,6528,9301,42.47855392156863,9472.825,,standard
ch150,150,GA,13,20262532,6528,9117,39.65992647058823,9371.325,,standard
ch150,150,GA,14,20262533,6528,9093,39.2922794117647,9400.3,,standard
ch150,150,GA,15,20262534,6528,9538,46.10906862745098,10370.55,,standard
ch150,150,GA,16,20262535,6528,9677,48.23835784313726,10598.25,,standard
ch150,150,GA,17,20262536,6528,9316,42.70833333333334,9715.0,,standard
ch150,150,GA,18,20262537,6528,9546,46.23161764705883,9986.55,,standard
ch150,150,GA,19,20262538,6528,9511,45.69546568627451,9745.05,,standard
ch150,150,GA,20,20262539,6528,9466,45.0061274509804,9663.925,,standard
ch150,150,GA,21,20262540,6528,8980,37.56127450980392,9361.225,,standard
ch150,150,GA,22,20262541,6528,9455,44.83762254901961,9845.875,,standard
ch150,150,GA,23,20262542,6528,9253,41.74325980392157,9396.575,,standard
ch150,150,GA,24,20262543,6528,9680,48.28431372549019,10685.825,,standard
ch150,150,GA,25,20262544,6528,9454,44.82230392156863,9915.925,,standard
ch150,150,GA,26,20262545,6528,8896,36.27450980392157,9171.375,,standard
ch150,150,GA,27,20262546,6528,9462,44.94485294117647,9616.95,,standard
ch150,150,GA,28,20262547,6528,8929,36.78002450980392,9456.5,,standard
ch150,150,GA,29,20262548,6528,9264,41.91176470588236,9885.55,,standard
ch150,150,GA,30,20262549,6528,9449,44.74571078431372,10083.075,,standard
ch150,150,ACO,1,20263520,6528,6778,3.829656862745098,6778.0,,standard
ch150,150,ACO,2,20263521,6528,6718,2.910539215686275,6718.5,,standard
ch150,150,ACO,3,20263522,6528,6758,3.52328431372549,6758.0,,standard
ch150,150,ACO,4,20263523,6528,6857,5.039828431372549,6857.0,,standard
ch150,150,ACO,5,20263524,6528,6781,3.875612745098039,7126.933333333333,,standard
ch150,150,ACO,6,20263525,6528,6837,4.733455882352941,6910.166666666667,,standard
ch150,150,ACO,7,20263526,6528,6803,4.212622549019608,6857.566666666667,,standard
ch150,150,ACO,8,20263527,6528,6713,2.833946078431373,6713.0,,standard
ch150,150,ACO,9,20263528,6528,6857,5.039828431372549,6857.0,,standard
ch150,150,ACO,10,20263529,6528,6864,5.147058823529412,6864.0,,standard
ch150,150,ACO,11,20263530,6528,6749,3.385416666666667,6749.0,,standard
ch150,150,ACO,12,20263531,6528,6766,3.645833333333333,6766.8,,standard
ch150,150,ACO,13,20263532,6528,6724,3.002450980392157,6724.0,,standard
ch150,150,ACO,14,20263533,6528,6713,2.833946078431373,6878.133333333333,,standard
ch150,150,ACO,15,20263534,6528,6897,5.652573529411764,6897.0,,standard
ch150,150,ACO,16,20263535,6528,6678,2.297794117647059,6678.933333333333,,standard
ch150,150,ACO,17,20263536,6528,6683,2.374387254901961,6743.666666666667,,standard
ch150,150,ACO,18,20263537,6528,6860,5.08578431372549,6860.0,,standard
ch150,150,ACO,19,20263538,6528,6725,3.017769607843137,6725.0,,standard
ch150,150,ACO,20,20263539,6528,6733,3.14031862745098,6733.0,,standard
ch150,150,ACO,21,20263540,6528,6790,4.013480392156863,6790.0,,standard
ch150,150,ACO,22,20263541,6528,6840,4.779411764705882,7203.1,,standard
ch150,150,ACO,23,20263542,6528,6945,6.387867647058823,6945.0,,standard
ch150,150,ACO,24,20263543,6528,6755,3.477328431372549,6755.0,,standard
ch150,150,ACO,25,20263544,6528,6673,2.221200980392157,6673.0,,standard
ch150,150,ACO,26,20263545,6528,6718,2.910539215686275,6732.333333333333,,standard
ch150,150,ACO,27,20263546,6528,6730,3.094362745098039,6958.8,,standard
ch150,150,ACO,28,20263547,6528,6812,4.350490196078432,6812.0,,standard
ch150,150,ACO,29,20263548,6528,6694,2.542892156862745,6694.733333333334,,standard
ch150,150,ACO,30,20263549,6528,6799,4.151348039215686,6799.1,,standard
ch150,150,ABC/BCO,1,20264520,6528,7338,12.40808823529412,17992.4,,standard
ch150,150,ABC/BCO,2,20264521,6528,7112,8.946078431372548,18061.5,,standard
ch150,150,ABC/BCO,3,20264522,6528,7382,13.08210784313726,17959.76666666667,,standard
ch150,150,ABC/BCO,4,20264523,6528,7261,11.22855392156863,18380.26666666666,,standard
ch150,150,ABC/BCO,5,20264524,6528,7494,14.79779411764706,18079.4,,standard
ch150,150,ABC/BCO,6,20264525,6528,7186,10.0796568627451,18025.33333333333,,standard
ch150,150,ABC/BCO,7,20264526,6528,7282,11.55024509803922,17964.76666666667,,standard
ch150,150,ABC/BCO,8,20264527,6528,7409,13.49571078431373,17844.86666666666,,standard
ch150,150,ABC/BCO,9,20264528,6528,7401,13.37316176470588,18247.03333333333,,standard
